"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:04L5bU0ZK7hdOHfdkAeh8h","The Beaches of Lesbos","spotify:artist:3zz8PxJE0tBfUqcZbf3SZS","Daniel Herskedal","spotify:album:2MaarLJg1WDo75R3k6XJcI","The Beaches of Lesbos","spotify:artist:3zz8PxJE0tBfUqcZbf3SZS","Daniel Herskedal","2021-05-21","https://i.scdn.co/image/ab67616d0000b273bfa257ca38df2ddf658c4961","1","1","310773","https://p.scdn.co/mp3-preview/5d4da1d1b3f45bce1d6ca6bdd3224c526a991d47?cid=9950ac751e34487dbbe027c4fd7f8e99","false","8","","2021-06-08T07:14:29Z"
"spotify:track:4EXNCRsA0jSjXXj5YkX4Zt","Terrain: II","spotify:artist:7sYipTRgDXS2JVOPEhRutx","Portico Quartet","spotify:album:4UeTj6ZD6u9kEgKifhM3HL","Terrain","spotify:artist:7sYipTRgDXS2JVOPEhRutx","Portico Quartet","2021-05-28","https://i.scdn.co/image/ab67616d0000b27328b0fb3fad3371f2e72b5154","1","2","556760","","false","0","","2021-06-08T06:33:05Z"
"spotify:track:6JHImit1Hmvx8x7Qx6cAJd","Orlo","spotify:artist:12DkoR4cqoY6osVYHmsrAq","Timo Lassy","spotify:album:77VgiOCIC8xoZv7KNLnooh","Orlo","spotify:artist:12DkoR4cqoY6osVYHmsrAq","Timo Lassy","2021-06-04","https://i.scdn.co/image/ab67616d0000b27324db221556d228479c1b953e","1","1","295889","https://p.scdn.co/mp3-preview/103431c2377079bd539e4d6bb0710096d1b6c7a8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","","2021-06-08T04:53:20Z"
"spotify:track:0BYntYvDMrtc6Ff501kvQ2","The Mariner's Cross","spotify:artist:3zz8PxJE0tBfUqcZbf3SZS","Daniel Herskedal","spotify:album:3VFx6LGYMdeyvCmHTnQIak","The Mariner's Cross","spotify:artist:3zz8PxJE0tBfUqcZbf3SZS","Daniel Herskedal","2021-06-04","https://i.scdn.co/image/ab67616d0000b273dd63c8eb9a8587840e5ee6e9","1","1","194893","https://p.scdn.co/mp3-preview/eab53c3ef4c7e6d7f2f6c47264874a8d9e94f5f2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","","2021-06-08T04:51:21Z"
"spotify:track:2HjABCntvs0LfryvsWVJFO","Kontex","spotify:artist:2wouN3QXejYa5tKetYdcVX","Com Truise","spotify:album:2Takb3WbmLXRVvXiFfnjnk","Persuasion System","spotify:artist:2wouN3QXejYa5tKetYdcVX","Com Truise","2019-05-17","https://i.scdn.co/image/ab67616d0000b2737ac75f3e72f2756097c75e7c","1","5","222199","","false","0","","2021-06-07T16:18:55Z"
"spotify:track:31ShnB0jPGQB2xySyuhtQZ","Hate That I Love You","spotify:artist:69bG9tC62d8oTFC9aTTosn","New West","spotify:album:7Kkj3M3Nq9Rf1ELfTCTcBx","Hate That I Love You","spotify:artist:69bG9tC62d8oTFC9aTTosn","New West","2019-11-15","https://i.scdn.co/image/ab67616d0000b273def6abde9a654a82ed17fd55","1","1","212105","","false","0","","2021-06-07T10:58:17Z"
"spotify:track:2fkWyHBfRt87VD2Iilb6AM","SG Lou","spotify:artist:6LaE3kwUey4mWfJ7tvjCe9","Lucca Dohr","spotify:album:1jBjIutXhOUYpAWrveficC","SG Lou","spotify:artist:6LaE3kwUey4mWfJ7tvjCe9","Lucca Dohr","2019-11-26","https://i.scdn.co/image/ab67616d0000b273397edfb29af078ea51d49825","1","1","232199","https://p.scdn.co/mp3-preview/1259a289ae91991d3c1b74bda640fbd73f2991ed?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","","2021-06-07T08:04:35Z"
"spotify:track:49VM3vCQBFr1wJJw7xByGf","Montara","spotify:artist:6Yae9Ia1nq6JLLojBzwN1r","HNNY","spotify:album:7aIvhwqFnvV3hFp0ocKwzO","Montara","spotify:artist:6Yae9Ia1nq6JLLojBzwN1r","HNNY","2020-04-17","https://i.scdn.co/image/ab67616d0000b273f517ec48879e444b9d288bf7","1","1","225489","https://p.scdn.co/mp3-preview/883c26a9978906293eb76f191271a3aa69eaff13?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","","2021-06-06T16:49:04Z"
"spotify:track:2P4qoMmSqElFcI7GYaPLwf","My Mind Is a Maze","spotify:artist:1PG2FugIT1iF2CWnzjw0We","Alann8h","spotify:album:1XhSLcdqiYIsjMjc0zPsUa","Dumb Daze","spotify:artist:1PG2FugIT1iF2CWnzjw0We","Alann8h","2020-05-14","https://i.scdn.co/image/ab67616d0000b27351c0986ec50d989b3dd1d88d","1","2","146677","https://p.scdn.co/mp3-preview/a0efeeccda6f53d2a8a346f7635f1d870d8cf361?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","","2021-06-06T14:07:42Z"
"spotify:track:33pTrKPiYyP4F49jCgjNio","alien jewelry","spotify:artist:12U3blX0ilxf0tnejqPDYD","John The Blind","spotify:album:43zVD3ARisgdFdyPh8gt8Y","isolation","spotify:artist:12U3blX0ilxf0tnejqPDYD","John The Blind","2021-01-12","https://i.scdn.co/image/ab67616d0000b27345f6988d512ab2185a9ef53e","1","2","226066","https://p.scdn.co/mp3-preview/65f68ed7af1f59fb0645f2513b2bfab6b9b57c39?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","","2021-06-06T10:02:16Z"
